FIPS_county,EvictionLabIncidencePer1000RenterHouseholds
19001,9.720785936
19003,8.974358974
19005,13.5249366
19007,21.33891213
19009,6.547619048
19011,22.63747998
19013,56.43991053
19015,33.77174374
19017,10.89351285
19019,21.68224299
19021,8.39836492
19023,6.442376521
19025,8.924485126
19027,9.995147986
19029,19.85111663
19031,17.07650273
19033,33.49104427
19035,10.20848311
19037,11.5720524
19039,22.40527183
19041,12.92743953
19043,8.842523597
19045,42.37490071
19047,7.979539642
19049,24.97711787
19051,11.8609407
19053,9.938971229
19055,8.644067797
19057,37.56603404
19059,14.17155035
19061,37.7883773
19063,16.9212691
19065,13.01272984
19067,18.93939394
19069,11.29943503
19071,12.5
19073,12.78538813
19075,9.051724138
19077,15.25625745
19079,17.38570509
19081,14.47502548
19083,11.37949544
19085,14.63414634
19087,16.93430657
19089,15.88785047
19091,13.83886256
19093,6.906077348
19095,17.63803681
19097,19.56521739
19099,39.415268
19101,29.46257198
19103,21.07282756
19105,20.87849401
19107,17.0031881
19109,8.185053381
19111,29.09286098
19113,74.32760752
19115,15.6555773
19117,10.74285714
19119,6.259314456
19121,20.36630037
19123,20.41958042
19125,16.53543307
19127,38.97364771
19129,19.26444834
19131,11.26126126
19133,9.933142311
19135,18.85714286
19137,22.70531401
19139,35.43288511
19141,11.71052632
19143,5.555555556
19145,14.15836392
19147,6.415929204
19149,9.503959983
19151,7.557354926
19153,77.35061058
19155,59.82965409
19157,13.95525218
19159,7.343412527
19161,6.208425721
19163,76.91085964
19165,16.03773585
19167,3.86717108
19169,18.50352723
19171,16.01489758
19173,9.684210526
19175,21.52777778
19177,13.68421053
19179,34.13585555
19181,34.4227728
19183,14.12103746
19185,11.35029354
19187,32.69269674
19189,14.28571429
19191,5.601317957
19193,51.65696546
19195,14.98470948
19197,9.466666667
